"last_name, first_name","player_id","year","pa","k_percent","xwoba","sweet_spot_percent","barrel_batted_rate","avg_hyper_speed"
"Cabrera, Miguel","408234","2023","370",20,".301",34.2,4.2,"93.630273802"
"Peralta, David","444482","2023","422",17.1,".309",31.1,4.9,"94.678134417"
"Blackmon, Charlie","453568","2023","413",13.3,".339",39,4.9,"92.81067263"
"Maldonado, Martín","455117","2023","407",34.2,".267",32.8,8.5,"93.988423653"
"Solano, Donovan","456781","2023","450",22.2,".351",43.1,6.1,"94.475306983"
"McCutchen, Andrew","457705","2023","473",21.1,".353",33.7,6.8,"94.60717314"
"Turner, Justin","457759","2023","626",17.6,".336",36.8,5.7,"93.587032225"
"Andrus, Elvis","462101","2023","406",17.5,".267",28.1,2.6,"92.978938439"
"Santana, Carlos","467793","2023","619",16.8,".308",31.3,6.7,"93.791213073"
"Belt, Brandon","474832","2023","404",34.9,".336",44.5,15,"94.453475333"
"Gurriel Jr., Yuli","493329","2023","329",13.4,".273",32.2,1.9,"92.903397315"
"Rojas, Miguel","500743","2023","423",11.3,".288",33.4,2.9,"92.848794735"
"Escobar, Eduardo","500871","2023","309",25.2,".244",30.5,3.8,"92.269302067"
"Pham, Tommy","502054","2023","481",22,".361",34.4,10.7,"96.158685951"
"Martinez, J.D.","502110","2023","479",31.1,".369",41.1,17.1,"96.728137226"
"Goldschmidt, Paul","502671","2023","687",23.4,".367",35.6,12,"95.767792759"
"Altuve, Jose","514888","2023","410",17.3,".331",29.7,8.3,"92.956086549"
"Segura, Jean","516416","2023","326",14.4,".281",22.4,3.5,"94.042211093"
"Marte, Starling","516782","2023","341",20.2,".312",30.6,5.6,"94.129016405"
"d'Arnaud, Travis","518595","2023","292",22.9,".326",37.8,9,"94.8353646"
"Freeman, Freddie","518692","2023","730",16.6,".408",46.6,11.1,"94.617661541"
"Grandal, Yasmani","518735","2023","405",21.2,".282",32.3,4.7,"93.23662509"
"Heyward, Jason","518792","2023","377",17,".319",33,8.1,"93.70715033"
"LeMahieu, DJ","518934","2023","562",22.2,".322",31.6,5.9,"94.32212244"
"Moustakas, Mike","519058","2023","386",24.6,".270",28.3,5.7,"93.790160498"
"Rizzo, Anthony","519203","2023","421",23,".319",41.2,6.9,"93.823202582"
"Stanton, Giancarlo","519317","2023","415",29.9,".325",27.4,15.7,"97.484200526"
"Perez, Salvador","521692","2023","580",23.3,".325",38,8.8,"94.955683293"
"Flores, Wilmer","527038","2023","454",13.9,".333",36.2,7.8,"92.72835564"
"Bethancourt, Christian","542194","2023","332",27.4,".266",28.5,7.9,"94.065729509"
"Ozuna, Marcell","542303","2023","592",22.6,".393",34.9,16.6,"96.232240934"
"Berti, Jon","542932","2023","424",18.2,".324",29.7,4.7,"92.905131597"
"Crawford, Brandon","543063","2023","320",25.3,".294",32.4,10.1,"94.12075299"
"Cron, C.J.","543068","2023","278",23.4,".332",31.8,13.8,"94.849164308"
"Gomes, Yan","543228","2023","419",19.3,".321",37,7.8,"93.349708864"
"Grossman, Robbie","543257","2023","420",23.3,".306",32.3,6.8,"93.356276654"
"Hicks, Aaron","543305","2023","312",22.1,".282",26.4,4,"92.357553401"
"Higashioka, Kyle","543309","2023","260",28.5,".309",36.6,11,"94.981513333"
"Semien, Marcus","543760","2023","753",14.6,".333",37.5,6.5,"93.189258191"
"Springer III, George","543807","2023","683",18.3,".332",32.2,7.7,"94.297792755"
"Vázquez, Christian","543877","2023","355",23.1,".268",36,3.2,"92.517706337"
"Wong, Kolten","543939","2023","250",21.2,".262",28.7,1.7,"92.008496429"
"Vargas, Ildemaro","545121","2023","286",7,".303",26,2.4,"92.578474076"
"Grichuk, Randal","545341","2023","471",20.4,".323",35,7.1,"95.074647765"
"Trout, Mike","545361","2023","362",28.7,".389",38.3,16,"96.666975874"
"Harper, Bryce","547180","2023","546",21.8,".399",36.8,15.2,"96.235486154"
"Abreu, José","547989","2023","594",21.9,".314",32.5,8.7,"94.59770588"
"Díaz, Elias","553869","2023","526",22.4,".296",31.2,6.2,"94.071648482"
"Suárez, Eugenio","553993","2023","694",30.8,".324",37.7,13.2,"94.726665316"
"Arenado, Nolan","571448","2023","612",16.5,".320",33,7.3,"93.760489679"
"Farmer, Kyle","571657","2023","369",23.3,".313",36.1,6.7,"92.785266614"
