Rk,Season,Team,Lg,Playoff,GP,W,L,WL%,Bat#,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,LOB,R/Gm,Fld%
1,2023,ATL,NL,2,162,104,58,.642,23,6249,5597,947,1543,920,293,23,307,916,132,27,538,1289,.276,.344,.501,.845,126,2803,128,67,2,43,20,1062,5.,0.986
2,2023,BAL,AL,2,162,101,61,.623,31,6123,5495,807,1399,879,309,28,183,780,114,24,512,1370,.255,.321,.421,.742,107,2313,114,45,21,47,14,1041,5.0,0.988
3,2023,LAD,NL,2,162,100,62,.617,30,6333,5524,906,1422,850,303,20,249,877,105,25,644,1359,.257,.340,.455,.795,114,2512,98,85,5,69,29,1163,5.6,0.987
4,2023,TBR,AL,1,162,99,63,.611,21,6164,5511,860,1432,896,282,24,230,827,160,41,514,1420,.260,.331,.445,.776,114,2452,109,95,6,38,7,1047,5.3,0.987
5,2023,MIL,NL,1,162,92,70,.568,26,6084,5386,728,1290,852,257,16,165,696,129,28,591,1412,.240,.319,.385,.704,92,2074,144,58,7,39,15,1075,4.5,0.987
6,2023,TEX,AL,5,162,90,72,.556,26,6306,5595,881,1470,893,326,18,233,845,79,19,599,1416,.263,.337,.452,.790,116,2531,103,53,10,47,17,1164,5.4,0.990
7,2023,PHI,NL,3,162,90,72,.556,20,6207,5541,796,1417,877,291,29,220,771,141,26,539,1481,.256,.327,.438,.765,107,2426,110,69,13,42,22,1123,4.,0.984
8,2023,HOU,AL,3,162,90,72,.556,26,6253,5567,827,1441,917,280,22,222,799,107,32,550,1241,.259,.331,.437,.768,111,2431,124,72,14,40,17,1134,5.1,0.986
9,2023,TOR,AL,1,162,89,73,.549,24,6220,5562,746,1423,924,292,19,188,705,99,34,550,1303,.256,.329,.417,.745,105,2317,129,69,4,32,14,1170,4.6,0.988
10,2023,SEA,AL,0,162,88,74,.543,30,6201,5500,758,1332,827,283,12,210,728,118,30,548,1603,.242,.321,.413,.734,108,2269,95,111,4,37,14,1144,4.7,0.987
11,2023,MIN,AL,2,162,87,75,.537,24,6219,5489,778,1336,815,264,24,233,745,86,18,594,1654,.243,.326,.428,.753,105,2347,119,92,12,32,13,1138,4.8,0.988
12,2023,ARI,NL,4,162,84,78,.519,34,6124,5436,746,1359,875,274,44,166,706,166,26,540,1247,.250,.322,.408,.730,98,2219,121,58,36,50,11,1091,4.6,0.990
