Rk,Season,Team,Lg,W,GP,W,L,WL%,ERA,G,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB
1,2023,ATL,NL,104,162,104,58,.642,4.14,162,1,1,52,1440.0,1341,716,662,187,534,14,1516,70,8,56,6135,106,4.10,1.302,8.4,1.2,3.3,9.5,2.84
2,2023,BAL,AL,101,162,101,61,.623,3.91,162,0,0,49,1454.0,1334,678,631,177,473,16,1431,63,7,64,6098,105,3.98,1.243,8.3,1.1,2.9,8.9,3.03
3,2023,LAD,NL,100,162,100,62,.617,4.06,162,0,0,44,1446.1,1284,699,652,200,454,20,1388,73,4,49,6018,107,4.23,1.202,8.0,1.2,2.8,8.6,3.06
4,2023,TBR,AL,99,162,99,63,.611,3.87,162,0,0,45,1442.0,1258,665,620,177,439,10,1507,63,1,65,5994,109,3.80,1.177,7.9,1.1,2.7,9.4,3.43
5,2023,MIL,NL,92,162,92,70,.568,3.73,162,1,1,46,1443.0,1218,647,598,198,493,7,1425,60,8,54,5990,116,4.21,1.186,7.6,1.2,3.1,8.9,2.89
6,2023,TEX,AL,90,162,90,72,.556,4.28,162,3,1,30,1436.1,1330,716,683,198,491,19,1351,59,4,46,6025,101,4.31,1.268,8.3,1.2,3.1,8.5,2.75
7,2023,PHI,NL,90,162,90,72,.556,4.03,162,1,1,45,1442.1,1318,715,646,185,470,6,1454,54,7,35,6074,107,4.00,1.240,8.2,1.2,2.9,9.1,3.09
8,2023,HOU,AL,90,162,90,72,.556,3.94,162,2,2,42,1445.1,1312,698,633,201,537,6,1460,75,5,37,6110,108,4.31,1.279,8.2,1.3,3.3,9.1,2.72
9,2023,TOR,AL,89,162,89,73,.549,3.79,162,1,1,51,1451.2,1326,671,611,198,488,29,1528,62,12,42,6100,114,4.06,1.250,8.2,1.2,3.0,9.5,3.13
10,2023,SEA,AL,88,162,88,74,.543,3.74,162,2,1,44,1449.2,1300,659,602,184,421,22,1459,57,4,41,6006,106,3.88,1.187,8.1,1.1,2.6,9.1,3.47
11,2023,MIN,AL,87,162,87,75,.537,3.87,162,2,2,38,1451.1,1294,659,624,194,443,16,1560,63,1,51,6028,114,3.89,1.197,8.0,1.2,2.7,9.7,3.52
12,2023,ARI,NL,84,162,84,78,.519,4.48,162,1,1,44,1435.1,1375,761,715,197,525,13,1351,48,8,40,6100,99,4.35,1.324,8.6,1.2,3.3,8.5,2.57
13,2023,MIA,NL,84,162,84,78,.519,4.21,162,3,1,43,1435.1,1340,723,672,191,514,20,1490,71,9,38,6091,112,4.13,1.292,8.4,1.2,3.2,9.3,2.90
